symbol,yf_ticker,name,exchange
JAMNAAUTO,JAMNAAUTO.NS,Jamna Auto Industries Ltd.,NSE
JETAIRWAYS,JETAIRWAYS.NS,Jet Airways (India) Ltd.,NSE
JINDALSAW,JINDALSAW.NS,Jindal Saw Ltd.,NSE
JSLHISAR,JSLHISAR.NS,Jindal Stainless (Hisar) Ltd.,NSE
JSL,JSL.NS,Jindal Stainless Ltd.,NSE
JINDALSTEL,JINDALSTEL.NS,Jindal Steel & Power Ltd.,NSE
JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,NSE
JUBILANT,JUBILANT.NS,Jubilant Life Sciences Ltd.,NSE
JUSTDIAL,JUSTDIAL.NS,Justdial Ltd.,NSE
JYOTHYLAB,JYOTHYLAB.NS,Jyothy Laboratories Ltd.,NSE
KPRMILL,KPRMILL.NS,K.P.R. Mill Ltd.,NSE
KEI,KEI.NS,KEI Industries Ltd.,NSE
KIOCL,KIOCL.NS,KIOCL Ltd.,NSE
KNRCON,KNRCON.NS,KNR Constructions Ltd.,NSE
KRBL,KRBL.NS,KRBL Ltd.,NSE
KAJARIACER,KAJARIACER.NS,Kajaria Ceramics Ltd.,NSE
KALPATPOWR,KALPATPOWR.NS,Kalpataru Power Transmission Ltd.,NSE
KANSAINER,KANSAINER.NS,Kansai Nerolac Paints Ltd.,NSE
KTKBANK,KTKBANK.NS,Karnataka Bank Ltd.,NSE
KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Ltd.,NSE
KSCL,KSCL.NS,Kaveri Seed Company Ltd.,NSE
KEC,KEC.NS,Kec International Ltd.,NSE
KIRLOSENG,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,NSE
KOLTEPATIL,KOLTEPATIL.NS,Kolte-Patil Developers Ltd.,NSE
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,NSE
L&TFH,L&TFH.NS,L&T Finance Holdings Ltd.,NSE
LTTS,LTTS.NS,L&T Technology Services Ltd.,NSE
LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,NSE
LAXMIMACH,LAXMIMACH.NS,Lakshmi Machine Works Ltd.,NSE
LAKSHVILAS,LAKSHVILAS.NS,Lakshmi Vilas Bank Ltd.,NSE
LTI,LTI.NS,Larsen & Toubro Infotech Ltd.,NSE
LT,LT.NS,Larsen & Toubro Ltd.,NSE
LAURUSLABS,LAURUSLABS.NS,Laurus Labs Ltd.,NSE
LEMONTREE,LEMONTREE.NS,Lemon Tree Hotels Ltd.,NSE
LINDEINDIA,LINDEINDIA.NS,Linde India Ltd.,NSE
LUPIN,LUPIN.NS,Lupin Ltd.,NSE
LUXIND,LUXIND.NS,Lux Industries Ltd.,NSE
MASFIN,MASFIN.NS,MAS Financial Services Ltd.,NSE
MMTC,MMTC.NS,MMTC Ltd.,NSE
MOIL,MOIL.NS,MOIL Ltd.,NSE
MRF,MRF.NS,MRF Ltd.,NSE
MAGMA,MAGMA.NS,Magma Fincorp Ltd.,NSE
MGL,MGL.NS,Mahanagar Gas Ltd.,NSE
MAHSCOOTER,MAHSCOOTER.NS,Maharashtra Scooters Ltd.,NSE
MAHSEAMLES,MAHSEAMLES.NS,Maharashtra Seamless Ltd.,NSE
M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,NSE
M&M,M&M.NS,Mahindra & Mahindra Ltd.,NSE
MAHINDCIE,MAHINDCIE.NS,Mahindra CIE Automotive Ltd.,NSE
MHRIL,MHRIL.NS,Mahindra Holidays & Resorts India Ltd.,NSE
MAHLOG,MAHLOG.NS,Mahindra Logistics Ltd.,NSE
MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Ltd.,NSE
MRPL,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,NSE
MARICO,MARICO.NS,Marico Ltd.,NSE
MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,NSE
