symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
SHAILY,SHAILY ENG PLASTICS,NSE,SHAILY.NS,Other,3079.1,2458.87,2309.02,3198.0,3.72,14.93,63.26,25.12,101.25,92.37,0.31,5.98,-0.25,17.78,True,False,,,0,1.6,True,False,False,,2,12W 20/6 2T,85.54,False,62.18,False,True,False,False,True,True,True,True,True,True,False,True,True,True,69,41
WELCORP,WELSPUN CORP,NSE,WELCORP.NS,Metals,1346.6,1185.48,919.58,1427.0,5.63,4.23,65.98,69.2,75.45,128.85,0.4,3.49,-2.07,10.17,True,False,10,3.05,0,3.32,True,False,False,,2,12W 8/8 2T,54.0,False,64.56,True,True,False,False,False,True,True,True,True,True,True,True,True,True,69,62
STYLAMIND,STYLAM INDUSTRIES,NSE,STYLAMIND.NS,Other,3101.3,2482.38,2168.04,3279.0,5.42,21.72,40.13,44.31,96.66,14.39,2.52,4.47,0.0,16.34,True,False,10,3.84,0,2.79,True,True,False,,0,,69.23,False,62.15,True,True,False,False,True,True,True,True,True,True,True,True,True,True,68,68
SBCL,SHIVALIK BIMETAL CON.,NSE,SBCL.NS,Other,731.6,586.52,494.95,789.0,7.28,14.91,70.28,64.92,67.05,38.66,0.98,5.46,-1.4,12.58,True,True,,,0,4.69,True,False,False,,0,,66.81,False,61.84,False,True,True,False,False,True,True,True,True,True,False,True,True,True,67,48
SASKEN,SASKEN TECHNOLOGIES,NSE,SASKEN.NS,Other,2131.5,1559.85,1384.88,2358.7,9.63,56.47,86.78,77.65,38.82,108.7,0.19,8.1,-0.5,21.19,True,False,,,1,5.08,True,False,False,,0,,65.92,False,61.83,False,True,False,False,False,True,True,True,True,True,False,True,True,True,66,45
GRWRHITECH,GARWARE HI-TECH FILMS,NSE,GRWRHITECH.NS,Other,5841.0,4669.94,3778.27,6166.0,5.27,10.41,43.37,59.52,83.28,56.4,0.35,5.61,-1.58,11.74,True,False,10,2.93,4,2.38,True,False,False,,0,,64.09,False,60.88,True,True,False,False,False,True,True,True,True,True,True,True,True,True,65,71
IDEA,VODAFONE IDEA,NSE,IDEA.NS,Telecom,14.4,11.3,10.26,15.25,5.57,28.11,43.86,28.0,102.25,1212.24,0.79,3.74,-0.87,10.0,False,True,10,3.19,3,2.32,True,False,False,,2,12W 9/4 2T,64.44,False,60.88,True,True,False,False,True,True,True,True,True,True,True,True,True,True,65,77
MON100,MOTILAL OSWAL NASDAQ 100 ETF,NSE,MON100.NS,Other,330.89,298.16,246.75,342.55,3.4,4.46,47.73,42.33,95.16,26.19,3.67,0.89,-0.82,8.16,False,False,10,1.4,0,2.04,True,False,False,,2,12W 5/1 2T,56.81,False,60.75,True,True,False,False,False,False,True,True,True,True,True,True,True,True,64,57
SJS,SJS ENTERPRISES,NSE,SJS.NS,Other,2061.2,1832.83,1687.99,2137.8,3.58,2.42,21.34,21.87,121.75,20.16,0.78,3.88,-0.69,9.14,True,False,10,2.24,2,2.35,True,False,False,,0,,72.22,False,59.77,True,True,False,False,True,True,True,True,True,True,True,True,True,True,64,66
ADANIENSOL,ADANI ENERGY SOLUTION,NSE,ADANIENSOL.NS,Other,1570.4,1302.36,1040.59,1614.8,2.75,16.02,54.93,57.1,74.56,627.64,1.61,5.02,-1.27,13.83,False,False,,,2,1.67,True,False,False,,3,12W 13/8 3T,85.55,False,59.54,True,True,False,False,True,True,True,True,True,True,True,True,True,True,63,55
